Genomic locus      	RRC Startpoint rate      	RRC Midpoint rate      	RRC Endpoint rate      	Comeron Startpoint rate      	Comeron Midpoint rate      	Comeron Endpoint rate
3R:10700000..10800000      	2.17      	2.18      	2.19      	0.87      	1.96      	1.96
3R:10800000..10900000      	2.19      	2.20      	2.21      	1.96      	3.92      	3.92
3R:10900000..11000000      	2.21      	2.22      	2.23      	3.92      	4.03      	4.03
3R:11000000..11100000      	2.23      	2.25      	2.26      	4.03      	1.85      	1.85
3R:11100000..11200000      	2.26      	2.27      	2.28      	1.85      	2.72      	2.72
3R:11200000..11300000      	2.28      	2.29      	2.30      	2.72      	5.44      	5.44
3R:11300000..11400000      	2.30      	2.31      	2.32      	5.44      	2.61      	2.61
3R:11400000..11500000      	2.32      	2.33      	2.34      	2.61      	0.76      	0.76
3R:11500000..11600000      	2.34      	2.35      	2.36      	0.76      	3.70      	3.70
3R:11600000..11700000      	2.36      	2.37      	2.38      	3.70      	2.83      	2.83
3R:11700000..11800000      	2.38      	2.39      	2.40      	2.83      	1.74      	1.74
3R:11800000..11900000      	2.40      	2.41      	2.42      	1.74      	0.76      	0.76
3R:11900000..12000000      	2.42      	2.43      	2.44      	0.76      	1.96      	1.96
3R:12000000..12100000      	2.44      	2.45      	2.46      	1.96      	1.31      	1.31
3R:12100000..12200000      	2.46      	2.47      	2.48      	1.31      	0.76      	0.76
3R:12200000..12300000      	2.48      	2.49      	2.50      	0.76      	1.74      	1.74
3R:12300000..12400000      	2.50      	2.51      	2.52      	1.74      	1.85      	1.85
3R:12400000..12500000      	2.52      	2.52      	2.53      	1.85      	0.65      	0.65
3R:12500000..12600000      	2.53      	2.54      	2.55      	0.65      	1.41      	1.41
3R:12600000..12700000      	2.55      	2.56      	2.57      	1.41      	0.76      	0.76
3R:12700000..12800000      	2.57      	2.58      	2.59      	0.76      	0.44      	0.44
3R:12800000..12900000      	2.59      	2.60      	2.60      	0.44      	0.76      	0.76
3R:12900000..13000000      	2.60      	2.61      	2.62      	0.76      	1.41      	1.41
3R:13000000..13100000      	2.62      	2.63      	2.64      	1.41      	1.74      	1.74
3R:13100000..13200000      	2.64      	2.65      	2.65      	1.74      	0.54      	0.54
3R:13200000..13300000      	2.65      	2.66      	2.67      	0.54      	1.74      	1.74
3R:13300000..13400000      	2.67      	2.68      	2.69      	1.74      	1.52      	1.52
3R:13400000..13500000      	2.69      	2.70      	2.70      	1.52      	1.63      	1.63
3R:13500000..13600000      	2.70      	2.71      	2.72      	1.63      	3.26      	3.26
3R:13600000..13700000      	2.72      	2.73      	2.73      	3.26      	0.54      	0.54
3R:13700000..13800000      	2.73      	2.74      	2.75      	0.54      	1.96      	1.96
3R:13800000..13900000      	2.75      	2.76      	2.76      	1.96      	4.35      	4.35
3R:13900000..14000000      	2.76      	2.77      	2.78      	4.35      	2.07      	2.07
3R:14000000..14100000      	2.78      	2.79      	2.79      	2.07      	8.38      	8.38
3R:14100000..14200000      	2.79      	2.80      	2.81      	8.38      	3.81      	3.81
3R:14200000..14300000      	2.81      	2.81      	2.82      	3.81      	1.52      	1.52
3R:14300000..14400000      	2.82      	2.83      	2.84      	1.52      	4.68      	4.68
3R:14400000..14500000      	2.84      	2.84      	2.85      	4.68      	2.94      	2.94
3R:14500000..14600000      	2.85      	2.86      	2.86      	2.94      	1.41      	1.41
3R:14600000..14700000      	2.86      	2.87      	2.87      	1.41      	4.13      	4.13
3R:14700000..14800000      	2.87      	2.88      	2.89      	4.13      	8.92      	8.92
3R:14800000..14900000      	2.89      	2.89      	2.90      	8.92      	3.81      	3.81
3R:14900000..15000000      	2.90      	2.91      	2.91      	3.81      	2.94      	2.94
3R:15000000..15100000      	2.91      	2.92      	2.92      	2.94      	7.18      	7.18
3R:15100000..15200000      	2.92      	2.93      	2.94      	7.18      	14.80      	14.80
3R:15200000..15300000      	2.94      	2.94      	2.95      	14.80      	4.46      	4.46
3R:15300000..15400000      	2.95      	2.95      	2.96      	4.46      	2.61      	2.61
3R:15400000..15500000      	2.96      	2.96      	2.97      	2.61      	5.33      	5.33
3R:15500000..15600000      	2.97      	2.97      	2.98      	5.33      	1.41      	1.41
3R:15600000..15700000      	2.98      	2.99      	2.99      	1.41      	4.35      	4.35
3R:15700000..15800000      	2.99      	3.00      	3.00      	4.35      	1.52      	1.52
3R:15800000..15900000      	3.00      	3.01      	3.01      	1.52      	5.88      	5.88
3R:15900000..16000000      	3.01      	3.02      	3.02      	5.88      	4.13      	4.13
3R:16000000..16100000      	3.02      	3.03      	3.03      	4.13      	5.22      	5.22
3R:16100000..16200000      	3.03      	3.04      	3.04      	5.22      	13.06      	13.06
3R:16200000..16300000      	3.04      	3.04      	3.05      	13.06      	1.20      	1.20
3R:16300000..16400000      	3.05      	3.05      	3.06      	1.20      	2.18      	2.18
3R:16400000..16500000      	3.06      	3.06      	3.07      	2.18      	0.65      	0.65
3R:16500000..16600000      	3.07      	3.07      	3.07      	0.65      	1.52      	1.52
3R:16600000..16700000      	3.07      	3.08      	3.08      	1.52      	1.31      	1.31
3R:16700000..16800000      	3.08      	3.09      	3.09      	1.31      	2.61      	2.61
3R:16800000..16900000      	3.09      	3.09      	3.10      	2.61      	1.09      	1.09
3R:16900000..17000000      	3.10      	3.10      	3.11      	1.09      	3.16      	3.16
3R:17000000..17100000      	3.11      	3.11      	3.11      	3.16      	3.59      	3.59
3R:17100000..17200000      	3.11      	3.12      	3.12      	3.59      	0.44      	0.44
3R:17200000..17300000      	3.12      	3.12      	3.13      	0.44      	0.11      	0.11
3R:17300000..17400000      	3.13      	3.13      	3.13      	0.11      	2.83      	2.83
3R:17400000..17500000      	3.13      	3.14      	3.14      	2.83      	0.98      	0.98
3R:17500000..17600000      	3.14      	3.14      	3.14      	0.98      	2.83      	2.83
3R:17600000..17700000      	3.14      	3.15      	3.15      	2.83      	5.66      	5.66
3R:17700000..17800000      	3.15      	3.15      	3.16      	5.66      	3.48      	3.48
3R:17800000..17900000      	3.16      	3.16      	3.16      	3.48      	3.05      	3.05
3R:17900000..18000000      	3.16      	3.16      	3.17      	3.05      	4.03      	4.03
3R:18000000..18100000      	3.17      	3.17      	3.17      	4.03      	3.81      	3.81
3R:18100000..18200000      	3.17      	3.17      	3.18      	3.81      	2.18      	2.18
3R:18200000..18300000      	3.18      	3.18      	3.18      	2.18      	1.96      	1.96
3R:18300000..18400000      	3.18      	3.18      	3.18      	1.96      	3.48      	3.48
3R:18400000..18500000      	3.18      	3.19      	3.19      	3.48      	2.50      	2.50
3R:18500000..18600000      	3.19      	3.19      	3.19      	2.50      	4.90      	4.90
3R:18600000..18700000      	3.19      	3.19      	3.19      	4.90      	4.79      	4.79
3R:18700000..18800000      	3.19      	3.20      	3.20      	4.79      	1.96      	1.96
3R:18800000..18900000      	3.20      	3.20      	3.20      	1.96      	2.94      	2.94
3R:18900000..19000000      	3.20      	3.20      	3.20      	2.94      	3.16      	3.16
3R:19000000..19100000      	3.20      	3.20      	3.20      	3.16      	3.26      	3.26
3R:19100000..19200000      	3.20      	3.21      	3.21      	3.26      	3.81      	3.81
3R:19200000..19300000      	3.21      	3.21      	3.21      	3.81      	6.31      	6.31
3R:19300000..19400000      	3.21      	3.21      	3.21      	6.31      	1.63      	1.63
3R:19400000..19500000      	3.21      	3.21      	3.21      	1.63      	5.33      	5.33
3R:19500000..19600000      	3.21      	3.21      	3.21      	5.33      	2.94      	2.94
3R:19600000..19700000      	3.21      	3.21      	3.21      	2.94      	2.07      	2.07
3R:19700000..19800000      	3.21      	3.21      	3.21      	2.07      	2.61      	2.61
3R:19800000..19900000      	3.21      	3.21      	3.21      	2.61      	1.41      	1.41
3R:19900000..20000000      	3.21      	3.21      	3.21      	1.41      	1.85      	1.85
3R:20000000..20100000      	3.21      	3.21      	3.21      	1.85      	1.09      	1.09
3R:20100000..20200000      	3.21      	3.21      	3.21      	1.09      	1.41      	1.41
3R:20200000..20300000      	3.21      	3.21      	3.21      	1.41      	2.72      	2.72
3R:20300000..20400000      	3.21      	3.21      	3.21      	2.72      	5.88      	5.88
3R:20400000..20500000      	3.21      	3.21      	3.21      	5.88      	2.61      	2.61
3R:20500000..20600000      	3.21      	3.21      	3.21      	2.61      	3.70      	3.70
3R:20600000..20700000      	3.21      	3.21      	3.21      	3.70      	3.05      	3.05
3R:20700000..20800000      	3.21      	3.21      	3.21      	3.05      	2.94      	2.94
3R:20800000..20900000      	3.21      	3.21      	3.20      	2.94      	2.07      	2.07
3R:20900000..21000000      	3.20      	3.20      	3.20      	2.07      	3.05      	3.05
3R:21000000..21100000      	3.20      	3.20      	3.20      	3.05      	2.39      	2.39
3R:21100000..21200000      	3.20      	3.20      	3.20      	2.39      	1.20      	1.20
3R:21200000..21300000      	3.20      	3.19      	3.19      	1.20      	1.63      	1.63
3R:21300000..21400000      	3.19      	3.19      	3.19      	1.63      	2.61      	2.61
3R:21400000..21500000      	3.19      	3.19      	3.19      	2.61      	2.83      	2.83
3R:21500000..21600000      	3.19      	3.18      	3.18      	2.83      	0.44      	0.44
3R:21600000..21700000      	3.18      	3.18      	3.18      	0.44      	2.18      	2.18
3R:21700000..21800000      	3.18      	3.18      	3.17      	2.18      	2.39      	2.39
3R:21800000..21900000      	3.17      	3.17      	3.17      	2.39      	2.72      	2.72
3R:21900000..22000000      	3.17      	3.17      	3.17      	2.72      	0.76      	0.76
3R:22000000..22100000      	3.17      	3.16      	3.16      	0.76      	1.20      	1.20
3R:22100000..22200000      	3.16      	3.16      	3.16      	1.20      	2.50      	2.50
3R:22200000..22300000      	3.16      	3.15      	3.15      	2.50      	0.98      	0.98
3R:22300000..22400000      	3.15      	3.15      	3.14      	0.98      	0.87      	0.87
3R:22400000..22500000      	3.14      	3.14      	3.14      	0.87      	1.63      	1.63
3R:22500000..22600000      	3.14      	3.13      	3.13      	1.63      	3.70      	3.70
3R:22600000..22700000      	3.13      	3.13      	3.13      	3.70      	3.59      	3.59
3R:22700000..22800000      	3.13      	3.12      	3.12      	3.59      	3.37      	3.37
3R:22800000..22900000      	3.12      	3.12      	3.11      	3.37      	0.33      	0.33
3R:22900000..23000000      	3.11      	3.11      	3.10      	0.33      	2.83      	2.83
3R:23000000..23100000      	3.10      	3.10      	3.10      	2.83      	4.24      	4.24
3R:23100000..23200000      	3.10      	3.09      	3.09      	4.24      	1.85      	1.85
3R:23200000..23300000      	3.09      	3.09      	3.08      	1.85      	5.22      	5.22
3R:23300000..23400000      	3.08      	3.08      	3.07      	5.22      	2.50      	2.50
3R:23400000..23500000      	3.07      	3.07      	3.06      	2.50      	1.52      	1.52
3R:23500000..23600000      	3.06      	3.06      	3.06      	1.52      	3.59      	3.59
3R:23600000..23700000      	3.06      	3.05      	3.05      	3.59      	4.35      	4.35
3R:23700000..23800000      	3.05      	3.04      	3.04      	4.35      	4.90      	4.90
3R:23800000..23900000      	3.04      	3.03      	3.03      	4.90      	1.41      	1.41
3R:23900000..24000000      	3.03      	3.02      	3.02      	1.41      	6.31      	6.31
3R:24000000..24100000      	3.02      	3.01      	3.01      	6.31      	0.98      	0.98
3R:24100000..24200000      	3.01      	3.00      	3.00      	0.98      	1.63      	1.63
3R:24200000..24300000      	3.00      	2.99      	2.99      	1.63      	1.74      	1.74
3R:24300000..24400000      	2.99      	2.98      	2.98      	1.74      	0.76      	0.76
3R:24400000..24500000      	2.98      	2.97      	2.97      	0.76      	0.87      	0.87
3R:24500000..24600000      	2.97      	2.96      	2.96      	0.87      	3.16      	3.16
3R:24600000..24700000      	2.96      	2.95      	2.95      	3.16      	1.74      	1.74
3R:24700000..24800000      	2.95      	2.94      	2.93      	1.74      	2.18      	2.18
3R:24800000..24900000      	2.93      	2.93      	2.92      	2.18      	1.20      	1.20
3R:24900000..25000000      	2.92      	2.92      	2.91      	1.20      	1.63      	1.63
3R:25000000..25100000      	2.91      	2.90      	2.90      	1.63      	0.87      	0.87
3R:25100000..25200000      	2.90      	2.89      	2.89      	0.87      	7.51      	7.51
3R:25200000..25300000      	2.89      	2.88      	2.87      	7.51      	2.94      	2.94
3R:25300000..25400000      	2.87      	2.87      	2.86      	2.94      	5.11      	5.11
3R:25400000..25500000      	2.86      	2.85      	2.85      	5.11      	1.74      	1.74
3R:25500000..25600000      	2.85      	2.84      	2.83      	1.74      	1.63      	1.63
3R:25600000..25700000      	2.83      	2.83      	2.82      	1.63      	2.39      	2.39
3R:25700000..25800000      	2.82      	2.81      	2.81      	2.39      	2.39      	2.39
3R:25800000..25900000      	2.81      	2.80      	2.79      	2.39      	2.07      	2.07
3R:25900000..26000000      	2.79      	2.78      	2.78      	2.07      	1.31      	1.31
3R:26000000..26100000      	2.78      	2.77      	2.76      	1.31      	2.83      	2.83
3R:26100000..26200000      	2.76      	2.75      	2.75      	2.83      	3.70      	3.70
3R:26200000..26300000      	2.75      	2.74      	2.73      	3.70      	1.31      	1.31
3R:26300000..26400000      	2.73      	2.72      	2.72      	1.31      	0.65      	0.65
3R:26400000..26500000      	2.72      	2.71      	2.70      	0.65      	1.09      	1.09
3R:26500000..26600000      	2.70      	2.69      	2.69      	1.09      	1.41      	1.41
3R:26600000..26700000      	2.69      	2.68      	2.67      	1.41      	0.65      	0.65
3R:26700000..26800000      	2.67      	2.66      	2.65      	0.65      	0.76      	0.76
3R:26800000..26900000      	2.65      	2.64      	2.64      	0.76      	0.98      	0.98
3R:26900000..27000000      	2.64      	2.63      	2.62      	0.98      	1.63      	1.63
3R:27000000..27100000      	2.62      	2.61      	2.60      	1.63      	0.54      	0.54
3R:27100000..27200000      	2.60      	2.59      	2.58      	0.54      	0.11      	0.11
3R:27200000..27300000      	2.58      	2.58      	2.57      	0.11      	0.00      	0.00
3R:27300000..27400000      	2.57      	2.56      	2.55      	0.00      	0.22      	0.22
3R:27400000..27500000      	2.55      	0.00      	0.00      	0.22      	0.00      	0.00
3R:27500000..27600000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:27600000..27700000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:27700000..27800000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
3R:27800000..27900000      	0.00      	0.00      	0.00      	0.00      	0.00      	0.00
