Genomic locus      	RRC Startpoint rate      	RRC Midpoint rate      	RRC Endpoint rate      	Comeron Startpoint rate      	Comeron Midpoint rate      	Comeron Endpoint rate
3L:13600000..13700000      	2.25      	2.23      	2.22      	1.45      	0.48      	0.48
3L:13700000..13800000      	2.22      	2.20      	2.19      	0.48      	0.69      	0.69
3L:13800000..13900000      	2.19      	2.17      	2.16      	0.69      	1.25      	1.25
3L:13900000..14000000      	2.16      	2.14      	2.13      	1.25      	3.25      	3.25
3L:14000000..14100000      	2.13      	2.11      	2.10      	3.25      	1.94      	1.94
3L:14100000..14200000      	2.10      	2.08      	2.07      	1.94      	0.97      	0.97
3L:14200000..14300000      	2.07      	2.05      	2.03      	0.97      	2.28      	2.28
3L:14300000..14400000      	2.03      	2.02      	2.00      	2.28      	1.38      	1.38
3L:14400000..14500000      	2.00      	1.99      	1.97      	1.38      	0.90      	0.90
3L:14500000..14600000      	1.97      	1.95      	1.94      	0.90      	1.11      	1.11
3L:14600000..14700000      	1.94      	1.92      	1.90      	1.11      	0.35      	0.35
3L:14700000..14800000      	1.90      	1.89      	1.87      	0.35      	0.48      	0.48
3L:14800000..14900000      	1.87      	1.85      	1.84      	0.48      	0.76      	0.76
3L:14900000..15000000      	1.84      	1.82      	1.80      	0.76      	0.35      	0.35
3L:15000000..15100000      	1.80      	1.79      	1.77      	0.35      	0.76      	0.76
3L:15100000..15200000      	1.77      	1.75      	1.73      	0.76      	1.04      	1.04
3L:15200000..15300000      	1.73      	1.72      	1.70      	1.04      	1.59      	1.59
3L:15300000..15400000      	1.70      	1.68      	1.66      	1.59      	1.45      	1.45
3L:15400000..15500000      	1.66      	1.64      	1.63      	1.45      	1.66      	1.66
3L:15500000..15600000      	1.63      	1.61      	1.59      	1.66      	1.25      	1.25
3L:15600000..15700000      	1.59      	1.57      	1.55      	1.25      	1.52      	1.52
3L:15700000..15800000      	1.55      	1.54      	1.52      	1.52      	3.67      	3.67
3L:15800000..15900000      	1.52      	1.50      	1.48      	3.67      	0.76      	0.76
3L:15900000..16000000      	1.48      	1.46      	1.44      	0.76      	2.49      	2.49
3L:16000000..16100000      	1.44      	1.42      	1.40      	2.49      	1.18      	1.18
3L:16100000..16200000      	1.40      	1.38      	1.37      	1.18      	2.35      	2.35
3L:16200000..16300000      	1.37      	1.35      	1.33      	2.35      	0.55      	0.55
3L:16300000..16400000      	1.33      	1.31      	1.29      	0.55      	1.52      	1.52
